date,vessel_records,unique_vessels,reroute_rate,avg_delay_days,total_transit_cost_usd,total_asset_risk_usd,total_fuel_tonnes,reroute_rate_pct,rolling_7d_cost_usd,cost_z_30d,cost_anomaly
2026-04-11,27,27,0.25925925925925924,3.111111111111111,46785900,7010000000,8760,25.925925925925924,46798642.85714286,1.4761286904085305,False
2026-04-12,27,27,0.4074074074074074,4.888888888888889,36471800,7140000000,13320,40.74074074074074,45187485.71428572,0.9069728128901502,False
2026-04-13,26,26,0.38461538461538464,4.615384615384615,42708300,6425000000,10920,38.46153846153847,45598000.0,1.1321470567234517,False
2026-04-14,27,27,0.3333333333333333,4.0,51146200,7385000000,13680,33.33333333333333,47790385.71428572,1.4257857702062158,False
2026-04-15,23,23,0.34782608695652173,4.173913043478261,24175700,5450000000,5880,34.78260869565217,46643742.85714286,0.12406686036752812,False
2026-04-16,31,31,0.3548387096774194,4.258064516129032,47825700,8900000000,17280,35.483870967741936,44205885.71428572,1.1672663842310735,False
2026-04-17,32,32,0.40625,4.875,60334400,9375000000,20160,40.625,44206857.14285714,1.6164605071082545,False
2026-04-18,33,33,0.30303030303030304,3.6363636363636362,39418300,8755000000,11520,30.303030303030305,43154342.85714286,0.6115740503055824,False
2026-04-19,33,33,0.36363636363636365,4.363636363636363,48952600,9750000000,16440,36.36363636363637,44937314.28571428,0.9837566298833955,False
2026-04-20,25,25,0.56,6.72,44852300,6335000000,19320,56.00000000000001,45243600.0,0.7398594312036205,False
2026-04-21,27,27,0.4444444444444444,5.333333333333333,50285000,7665000000,14400,44.44444444444444,45120571.428571425,0.9330330034776447,False
2026-04-22,31,31,0.45161290322580644,5.419354838709677,43340400,8860000000,20760,45.16129032258064,47858385.71428572,0.5512043446598839,False
2026-04-23,28,28,0.42857142857142855,5.142857142857143,46098500,8045000000,12600,42.857142857142854,47611642.85714286,0.6360335465174823,False
2026-04-24,27,27,0.4074074074074074,4.888888888888889,39956800,7585000000,13320,40.74074074074074,44700557.14285714,0.2697039802725219,False
2026-04-25,27,27,0.37037037037037035,4.444444444444445,35432400,8025000000,12360,37.03703703703704,44131142.85714286,-0.03217921704584706,False
2026-04-26,32,32,0.34375,4.125,59942600,9440000000,13440,34.375,45701142.85714286,1.305149705453257,False
2026-04-27,32,32,0.46875,5.625,48430000,9795000000,19200,46.875,46212242.85714286,0.5735219559532232,False
2026-04-28,30,30,0.5,6.0,44867700,8670000000,17280,50.0,45438342.85714286,0.2859061402632052,False
2026-04-29,32,32,0.4375,5.25,47442600,9155000000,18240,43.75,46024371.428571425,0.41711079507479554,False
2026-04-30,27,27,0.3333333333333333,4.0,48024700,8325000000,13080,33.33333333333333,46299542.85714286,0.4258642728099782,False
2026-05-01,32,32,0.34375,4.125,63336400,9810000000,15960,34.375,49639485.71428572,1.7907320659662231,False
2026-05-02,31,31,0.5161290322580645,6.193548387096774,55791100,8855000000,23640,51.61290322580645,52547871.428571425,0.9924508121599658,False
2026-05-03,26,26,0.46153846153846156,5.538461538461538,58083400,8415000000,15960,46.15384615384615,52282271.428571425,1.1522271291171007,False
2026-05-04,33,33,0.30303030303030304,3.6363636363636362,52409900,9985000000,12960,30.303030303030305,52850828.571428575,0.5383387188809782,False
2026-05-05,25,25,0.32,3.84,39277500,7800000000,13800,32.0,52052228.571428575,-0.7884400292648011,False
2026-05-06,31,31,0.3870967741935484,4.645161290322581,40188100,9060000000,16440,38.70967741935484,51015871.428571425,-0.6966765426495002,False
2026-05-07,26,26,0.19230769230769232,2.3076923076923075,45300900,7365000000,6360,19.230769230769234,50626757.14285714,-0.20805665748202234,False
2026-05-08,33,33,0.45454545454545453,5.454545454545454,48858800,9450000000,19320,45.45454545454545,48558528.571428575,0.1133285709798674,False
2026-05-09,28,28,0.32142857142857145,3.857142857142857,43272100,8285000000,11040,32.142857142857146,46770100.0,-0.4516487082513583,False
2026-05-10,31,31,0.2903225806451613,3.4838709677419355,59562400,10160000000,12960,29.03225806451613,46981385.71428572,1.4747212758088097,False
2026-05-11,28,28,0.2857142857142857,3.4285714285714284,31792700,7810000000,11880,28.57142857142857,44036071.428571425,-1.6603780148459881,False
2026-05-12,34,34,0.4411764705882353,5.294117647058823,51401400,10075000000,21360,44.11764705882353,45768057.14285714,0.4939948975032464,False
2026-05-13,31,31,0.3548387096774194,4.258064516129032,40397800,7755000000,12720,35.483870967741936,45798014.28571428,-0.7518187158252021,False
2026-05-14,31,31,0.5161290322580645,6.193548387096774,55685600,9720000000,22440,51.61290322580645,47281542.85714286,0.9578961361856276,False
2026-05-15,34,34,0.35294117647058826,4.235294117647059,68602400,11050000000,16560,35.294117647058826,50102057.14285714,2.3109012219933565,False
2026-05-16,34,34,0.3235294117647059,3.8823529411764706,58631600,10570000000,14640,32.35294117647059,52296271.428571425,1.0912604728942852,False
2026-05-17,36,36,0.3611111111111111,4.333333333333333,54045000,10320000000,16800,36.11111111111111,51508071.428571425,0.6096455091172464,False
2026-05-18,28,28,0.35714285714285715,4.285714285714286,30877100,8325000000,12240,35.714285714285715,51377271.428571425,-1.9434416793886935,False
2026-05-19,28,28,0.4642857142857143,5.571428571428571,38158400,8690000000,18960,46.42857142857143,49485414.28571428,-1.0779935248433228,False
2026-05-20,29,29,0.3793103448275862,4.551724137931035,63230100,8625000000,14040,37.93103448275862,52747171.428571425,1.5015083809595149,False
2026-05-21,25,25,0.36,4.32,27076900,7465000000,11760,36.0,48660214.28571428,-2.0079240233819275,False
2026-05-22,36,36,0.2777777777777778,3.3333333333333335,42108100,8480000000,11640,27.77777777777778,44875314.28571428,-0.5592201431550047,False
2026-05-23,27,27,0.5555555555555556,6.666666666666667,40564200,7210000000,17280,55.55555555555556,42294257.14285714,-0.6841147196059622,False
2026-05-24,29,29,0.4827586206896552,5.793103448275862,52465600,8220000000,20040,48.275862068965516,42068628.571428575,0.41080927691789537,False
2026-05-25,33,33,0.3333333333333333,4.0,50979700,9535000000,10080,33.33333333333333,44940428.571428575,0.224760990255502,False
2026-05-26,32,32,0.40625,4.875,61587100,8915000000,15840,40.625,48287385.71428572,1.2539536602500025,False
2026-05-27,33,33,0.48484848484848486,5.818181818181818,56154400,9580000000,24960,48.484848484848484,47276571.428571425,0.6922177999091869,False
2026-05-28,30,30,0.3,3.6,45864200,9255000000,14280,30.0,49960471.428571425,-0.3077872934987487,False
2026-05-29,23,23,0.5652173913043478,6.782608695652174,46160400,7210000000,20160,56.52173913043478,50539371.428571425,-0.27467531364814857,False
2026-05-30,29,29,0.3103448275862069,3.7241379310344827,34884900,7490000000,11760,31.03448275862069,49728042.85714286,-1.2849786993753674,False
2026-05-31,29,29,0.2413793103448276,2.896551724137931,55861700,8620000000,10080,24.137931034482758,50213200.0,0.72852470194405,False
